User: USER,,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,,
Test ID: 5472,,,
Test Name: Luka_Phenol,,,
Date: 24/03/2025,,,
Time: 5:24:30 PM,,,
ID1: 3,,,
Absorbance,,,Absorbance values are displayed as OD
,,,
,,,
Well,Content,Raw Data (765),
A01,Sample X1,0.096,
B01,Sample X2,0.067,
C01,Sample X3,0.062,
D01,Sample X4,0.312,
E01,Sample X5,0.268,
F01,Sample X6,0.277,
G01,Sample X7,0.758,
H01,Sample X8,0.788,
A02,Sample X9,0.791,
B02,Sample X10,1.533,
C02,Sample X11,1.552,
D02,Sample X12,1.563,
E02,Sample X13,1.955,
F02,Sample X14,1.933,
G02,Sample X15,2.026,
H02,Sample X16,2.293,
A03,Sample X17,2.345,
B03,Sample X18,2.337,
C03,Sample X19,2.441,
D03,Sample X20,2.494,
E03,Sample X21,2.309,
F03,Sample X22,1.766,
G03,Sample X23,2.041,
H03,Sample X24,1.883,
A04,Sample X25,2.02,
B04,Sample X26,1.981,
C04,Sample X27,2.091,
D04,Sample X28,1.839,
E04,Sample X29,1.845,
F04,Sample X30,1.892,
G04,Sample X31,1.852,
H04,Sample X32,1.951,
A05,Sample X33,1.989,
B05,Sample X34,2.292,
C05,Sample X35,2.288,
D05,Sample X36,2.371,
E05,Sample X37,2.303,
F05,Sample X38,2.199,
G05,Sample X39,2.379,
H05,Sample X40,2.154,
A06,Sample X41,2.321,
B06,Sample X42,2.261,
C06,Sample X43,2.304,
D06,Sample X44,2.363,
E06,Sample X45,2.396,
F06,Sample X46,2.34,
G06,Sample X47,2.538,
H06,Sample X48,2.565,
A07,Sample X49,2.112,
B07,Sample X50,2.14,
C07,Sample X51,2.132,
D07,Sample X52,2.238,
E07,Sample X53,2.141,
F07,Sample X54,2.252,
G07,Sample X55,1.354,
H07,Sample X56,1.436,
A08,Sample X57,1.393,
B08,Sample X58,2.091,
C08,Sample X59,2.043,
D08,Sample X60,2.098,
E08,Sample X61,2.095,
F08,Sample X62,2.158,
G08,Sample X63,2.166,
H08,Sample X64,2.352,
A09,Sample X65,2.333,
B09,Sample X66,2.4,
C09,Sample X67,2.029,
D09,Sample X68,2.096,
E09,Sample X69,2.062,
F09,Sample X70,2.314,
G09,Sample X71,2.298,
H09,Sample X72,2.232,
A10,Sample X73,0.14,
B10,Sample X74,0.146,
C10,Sample X75,0.144,
D10,Sample X76,2.333,
E10,Sample X77,2.268,
F10,Sample X78,2.282,
