,Filter Set 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Excitation: 360, Emission: 450",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Optics: Top, Gain: Scale to high wells (H11)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Light Source: Xenon Flash, Lamp Energy: High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Read Speed: Sweep, Delay: 0 msec, Measurements/Data Point: 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Read Height: 7 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Kinetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Time,"T° 360,450",A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,00:00:03,25.5,91,86,918,92,170,3846,309,976,1153,844,2187,1661,0,75,95,236,178,319,456,355,288,410,550,1033,22,17,38,241,78,65,181,189,212,479,541,1013,62,29,198,47,85,250,714,646,585,308,677,888,45,30,0,152,55,47,123,194,179,286,383,736,35,20,35,20,45,50,85,58,150,240,315,834,12,0,216,234,426,444,1053,942,2089,2092,3872,4049,9929,9632,18017,17274,31058,31517,57653,58045,79628,75420,88004,87774
,00:00:19,25.5,98,148,939,93,208,3778,244,949,1143,860,2475,1658,48,46,116,228,167,364,434,389,342,401,562,1015,0,0,2,157,48,60,156,148,208,478,515,1116,11,28,174,30,97,299,747,687,613,359,674,912,20,38,0,129,67,79,124,196,234,340,384,792,6,3,16,12,32,49,45,87,114,230,305,816,13,8,180,184,371,409,1041,984,2097,2076,3829,3839,9943,9798,17690,17151,30713,30871,58237,57676,78780,73924,87640,87305
,00:00:35,25.5,120,125,975,67,191,3845,304,1004,1120,749,2522,1782,45,93,119,294,190,335,462,380,291,381,525,1085,4,7,13,179,67,68,157,184,242,498,533,1107,24,45,191,49,19,262,729,650,694,383,650,790,16,9,0,151,67,102,159,239,201,342,407,782,0,14,8,0,35,74,95,103,141,258,271,858,5,15,207,186,415,393,1087,945,2060,2105,3884,3983,10014,9695,18253,17448,31015,31978,58389,57401,79178,76264,87132,87146
,00:00:51,25.6,90,94,1010,134,181,3926,234,957,1113,739,2477,1703,15,56,119,321,181,346,464,336,351,390,539,1092,0,35,14,178,38,75,190,167,184,441,490,1145,0,56,162,67,71,292,716,691,718,372,669,862,0,56,1,121,63,48,129,224,253,343,407,804,36,13,5,10,0,36,109,88,124,262,295,863,22,28,185,196,425,431,1038,994,2074,2027,3800,3950,9839,9580,18283,17466,30931,30418,58652,57450,79704,76345,88423,85763
,00:01:07,25.6,86,138,1030,141,204,3970,304,963,1054,692,2355,1766,13,101,131,257,164,309,472,373,331,412,547,1052,37,46,31,176,81,92,180,167,203,498,537,1200,38,28,127,59,86,318,761,704,688,338,710,893,16,22,0,161,46,84,143,222,242,295,349,786,0,0,0,6,0,0,95,118,92,217,294,879,0,15,218,148,418,401,1056,971,1974,2035,3771,3957,10061,9703,18305,17102,30670,31492,56725,57515,80062,75130,87692,87288
,00:01:23,25.6,106,146,1071,120,150,4039,303,981,1050,723,2331,1722,4,111,127,256,194,353,510,352,296,444,562,1115,13,18,26,167,78,88,187,169,215,510,529,1154,16,11,164,65,62,298,739,759,774,340,701,868,18,45,9,135,164,54,140,250,237,370,362,751,0,59,54,33,9,51,50,59,100,200,294,861,15,24,202,219,418,441,1096,1006,2023,2088,3858,3892,9914,9672,18262,17260,30687,31567,57983,57792,79019,74775,87759,86151
,00:01:39,25.5,110,122,1109,117,221,3980,275,1007,1071,656,2093,1672,0,118,117,243,207,355,549,381,324,421,522,1101,33,2,26,196,77,26,180,197,215,505,552,1121,0,4,169,57,97,342,721,798,748,394,723,877,10,0,13,164,36,69,129,244,215,382,388,739,0,13,0,5,47,32,91,122,136,221,306,859,35,0,223,220,425,412,1053,1044,2059,2017,3958,3936,9839,9678,18159,17238,30662,31299,58164,57389,79870,75520,87765,87846
,00:01:55,25.5,122,111,1091,149,195,4244,284,1034,1048,652,1999,1663,4,120,170,283,189,372,552,371,334,410,544,1143,0,0,26,179,88,64,192,178,214,472,568,1060,0,0,141,92,58,309,764,814,811,351,734,872,24,4,0,144,67,89,157,233,259,373,368,749,20,0,0,3,6,41,51,102,89,225,312,847,14,25,242,188,401,370,1063,997,1997,2072,3822,3854,9796,9516,18585,17266,31142,30664,57912,56602,79160,75688,87896,87444
,00:02:11,25.5,104,137,1177,134,183,4213,320,1045,1013,645,2134,1640,7,93,118,300,197,426,571,366,261,410,562,1075,0,0,0,191,91,77,207,212,212,507,576,1142,26,41,150,62,55,353,735,823,849,368,751,898,25,31,0,116,86,69,144,240,223,397,380,789,3,24,7,0,27,11,89,119,164,283,299,869,8,0,178,182,381,395,1040,1023,2048,2072,3852,3949,9920,9487,18414,16891,30156,30322,58554,57463,79030,74471,89499,86832
,00:02:27,25.6,110,114,1219,126,181,4306,296,1115,1059,707,2660,1588,11,95,116,305,185,384,556,389,353,462,548,1188,0,42,22,198,86,71,205,192,210,475,538,1084,9,44,142,63,101,356,797,874,852,381,705,931,10,18,56,172,31,59,118,216,274,378,397,771,45,0,0,22,6,63,73,110,152,253,313,839,21,0,187,219,398,406,1053,1046,2021,2048,3882,3949,9792,9497,18291,17054,30300,30657,57124,57745,79427,74997,88369,85999
,00:02:43,25.6,115,149,1360,129,168,4425,331,1075,1013,656,2949,1663,14,70,147,332,224,384,604,366,308,442,595,1169,0,9,13,214,48,72,227,186,234,440,592,1157,9,49,155,76,99,355,792,884,927,403,744,894,7,4,0,182,78,113,163,287,230,376,435,800,19,0,63,0,28,37,44,57,145,230,325,848,20,0,181,198,440,381,1060,969,2072,2073,3811,4022,9965,9468,17803,17127,30579,30396,57595,57336,78883,75004,87901,86048
,00:02:59,25.5,161,136,1436,120,150,4645,324,1101,985,689,2886,1668,6,75,181,350,221,393,624,431,360,438,561,1142,29,6,0,233,89,59,169,209,255,472,599,1138,12,41,164,101,112,327,798,898,984,359,774,975,18,0,0,149,45,58,161,240,237,409,413,776,1,0,0,37,49,72,37,71,133,204,285,872,37,21,190,202,384,397,1068,1036,1988,2042,3937,3938,10041,9429,18337,17147,31009,30514,58054,56805,80448,72148,88164,85561
,00:03:15,25.5,164,161,1466,119,210,4605,283,1118,1023,672,2993,1621,0,90,165,360,240,437,572,426,358,470,597,1212,30,8,56,205,38,69,187,171,234,524,599,1096,30,35,150,56,113,311,818,914,979,375,761,1021,0,0,12,143,54,75,139,230,260,391,503,787,0,0,19,17,18,33,52,100,168,214,285,864,0,0,207,209,401,401,1038,1049,1928,2112,3762,3910,9721,9481,18225,16834,30617,29591,58468,56432,78899,75717,88200,88381
,00:03:31,25.5,137,124,1457,170,216,4809,337,1122,1005,683,2866,1657,27,74,172,345,233,442,687,395,363,505,581,1224,0,45,0,221,63,75,207,220,235,474,577,1202,8,24,173,122,104,324,847,944,1020,361,756,1051,39,2,26,204,48,19,105,242,300,450,396,785,7,0,0,0,0,29,77,78,96,212,285,839,0,25,227,175,393,427,1027,1042,2032,2037,3784,3933,9791,9393,18186,16880,30969,30459,57926,56813,79703,74954,86192,87505
,00:03:47,25.6,125,145,1555,141,202,4752,319,1150,1031,702,2821,1658,25,126,135,321,237,460,688,406,337,503,570,1246,10,0,30,255,108,54,210,196,233,516,593,1212,0,36,193,102,91,288,799,939,1032,398,753,1063,49,22,0,261,76,73,184,227,304,453,440,783,7,7,13,0,0,10,37,96,117,210,272,846,5,0,209,222,403,407,1069,1030,2006,2019,3790,3947,9855,9269,18352,16893,30669,30650,57853,56836,79467,75010,87703,86557
,00:04:03,25.6,146,146,1600,123,201,4880,306,1262,1079,699,2821,1638,32,98,152,304,254,477,687,483,354,498,643,1209,34,1,35,275,131,68,213,215,230,533,603,1291,0,0,214,118,80,297,843,988,1087,376,753,998,0,0,0,244,80,55,140,248,337,462,397,817,20,0,0,0,0,34,49,63,143,213,294,853,0,0,199,178,438,391,1051,1002,2010,2053,3851,3978,9750,9349,18305,17113,30517,30746,57922,57588,78922,75311,87224,89246
,00:04:19,25.5,172,164,1652,105,190,4984,316,1179,1182,737,3020,1691,19,70,137,292,239,460,684,445,351,469,601,1256,0,0,5,287,71,38,184,188,222,529,576,1207,22,27,173,99,60,302,848,997,1088,379,772,1085,19,2,0,300,100,108,181,241,300,442,444,822,16,0,0,0,0,41,38,79,111,224,306,871,0,0,221,222,453,428,1031,1055,1994,2085,3794,3993,9695,9262,17932,16792,30912,30358,58280,57163,79424,74549,88285,87666
,00:04:35,25.5,143,134,1654,177,227,5039,317,1206,1145,744,3080,1705,9,75,206,334,284,495,731,485,382,540,608,1242,30,18,16,284,57,31,188,195,227,557,586,1189,27,52,190,83,58,259,884,1082,1123,405,825,1035,14,0,17,340,28,71,170,265,326,506,461,789,0,0,0,10,28,44,73,114,158,282,324,841,0,15,212,203,428,401,1060,1018,1980,2110,3831,3872,9948,9364,17778,17058,30699,30807,57967,58512,79890,73407,87989,87269
,00:04:51,25.5,119,147,1719,140,210,5072,354,1261,1199,753,3053,1748,31,106,211,341,244,496,753,452,376,522,611,1239,32,42,14,301,80,113,237,172,237,512,648,1221,36,36,209,75,102,246,911,1071,1186,397,806,1043,23,21,42,328,63,102,216,256,318,464,454,796,17,0,32,27,0,0,75,90,130,217,268,861,12,25,189,214,428,410,1074,992,1997,2025,3793,3901,9736,9311,18015,16799,30592,29854,58278,55037,79256,74250,86977,84880
,00:05:07,25.6,129,158,1695,133,203,5228,354,1278,1307,773,2939,1872,19,109,160,345,266,512,796,505,374,523,617,1266,36,42,51,338,81,68,194,225,205,568,657,1304,6,53,190,84,84,246,899,1068,1195,360,784,1062,0,26,18,368,100,78,169,234,330,467,477,843,37,0,0,0,55,54,92,103,130,249,315,853,0,25,210,182,478,410,1004,1044,2019,2093,3875,3884,9780,9260,17948,16886,30474,29972,57174,57318,79337,75702,86744,85713
,00:05:23,25.6,140,145,1785,142,230,5337,341,1307,1319,751,3055,1892,0,124,184,319,271,525,761,454,369,545,653,1242,0,30,24,327,92,100,238,227,262,588,653,1222,0,25,193,76,54,230,897,1124,1196,414,821,1101,29,6,30,403,74,102,177,250,327,536,479,793,21,4,27,0,19,27,75,88,122,257,278,856,2,0,193,212,435,384,1049,1023,1997,1999,3818,3963,9602,9580,18096,17010,30567,30013,57690,56539,79691,75333,87834,86427
,00:05:39,25.5,131,131,1793,141,244,5361,375,1316,1532,796,2992,2020,0,129,162,314,290,515,815,536,381,536,626,1301,0,32,34,341,88,91,249,213,217,569,569,1244,6,60,207,65,63,265,942,1119,1222,395,815,1143,0,0,44,340,70,105,196,271,347,535,454,801,0,34,1,0,15,33,24,122,118,263,276,868,0,0,222,217,424,425,1053,981,1982,2013,3767,3767,9534,9280,17556,16959,30297,29926,56257,56614,76864,74937,88085,86883
,00:05:55,25.5,161,125,1737,168,238,5580,396,1345,1592,807,3093,1926,53,123,197,316,289,544,809,499,383,553,638,1340,21,41,57,316,85,91,205,218,217,573,665,1272,20,16,185,66,111,285,936,1154,1238,385,841,1145,13,31,21,364,110,106,181,249,354,517,497,846,0,8,50,9,1,23,30,91,129,236,306,843,0,13,235,201,420,382,1014,1008,1985,2011,3741,4041,9768,9307,17563,16554,30417,30038,58740,57675,79613,74162,88106,86605
,00:06:11,25.5,150,148,1692,173,210,5512,368,1370,1631,866,3178,1919,20,110,196,306,290,561,812,509,407,588,662,1315,32,20,50,358,65,74,211,248,254,597,638,1277,55,63,217,69,63,215,993,1176,1260,415,860,1167,0,0,0,357,59,113,223,300,415,545,458,821,7,4,0,15,17,25,59,113,135,245,285,880,22,2,174,209,437,430,1032,1030,2006,2042,3672,3832,9765,9286,17882,16794,30145,29893,57532,56759,79344,73498,87390,86292
,00:06:27,25.5,150,145,1649,141,206,5627,375,1397,1612,865,3172,1931,10,113,182,339,268,516,853,517,387,651,614,1319,24,15,20,372,93,94,232,259,236,582,624,1300,8,56,212,72,155,257,998,1238,1364,396,886,1242,15,35,0,344,86,119,183,289,396,583,484,830,3,25,55,33,15,50,78,109,124,226,311,849,25,1,198,170,427,394,993,971,1958,2048,3871,3805,9815,9142,18147,16631,30366,30180,57772,55981,79217,72697,85842,86712
,00:06:43,25.5,146,171,1530,172,217,5856,402,1406,1464,866,3312,1900,4,107,186,359,248,567,881,541,391,569,626,1348,0,13,65,407,114,71,214,268,274,606,647,1419,49,11,219,122,121,251,1007,1241,1336,415,870,1304,17,13,31,327,83,96,187,282,394,597,499,861,0,8,11,0,0,30,91,70,119,248,291,888,37,26,184,199,386,379,1019,990,1962,2043,3777,3774,9607,9044,18266,16611,29877,30142,56567,56801,79848,72578,85689,87249
,00:06:59,25.6,164,181,1462,132,238,5843,395,1412,1506,878,3317,1868,22,111,187,334,347,555,872,568,396,572,669,1347,0,0,20,391,118,80,194,301,231,584,620,1461,31,56,255,83,136,276,1045,1267,1415,434,904,1333,26,47,48,378,63,115,171,276,415,564,484,812,11,23,34,1,22,34,93,94,156,228,292,821,32,22,186,215,429,382,1023,996,2010,1987,3820,3841,9761,9046,17800,16512,30507,29951,57996,56070,79399,71792,85960,86141
,00:07:15,25.6,160,165,1470,152,239,5908,399,1457,1548,885,3477,1861,0,135,178,344,287,565,957,567,424,630,676,1340,0,0,21,413,106,103,254,271,264,596,640,1415,24,58,222,99,121,305,1071,1258,1378,429,870,1298,5,41,35,384,121,111,205,276,425,565,522,821,14,0,10,18,0,15,64,80,159,226,291,871,0,15,211,201,413,385,1010,1000,2020,2051,3729,3829,9716,9176,18066,16532,30489,30037,56995,55409,79783,74349,87389,87249
,00:07:31,25.6,186,156,1497,152,245,5931,444,1472,1551,899,3472,1833,0,138,220,361,320,624,965,558,393,629,660,1401,21,0,27,414,102,95,263,294,282,612,655,1346,10,11,252,124,137,298,1075,1345,1448,428,896,1322,0,0,0,351,128,133,235,256,431,572,532,881,51,0,18,0,0,65,92,120,144,256,306,845,0,0,207,238,442,389,1006,1029,1995,2016,3907,3872,9781,9291,17876,16436,30551,29974,56714,56379,78218,74633,87294,87315
,00:07:47,25.6,180,194,1455,175,238,6079,412,1464,1653,891,3522,1908,0,131,194,372,296,574,925,542,421,633,716,1421,0,24,36,433,112,100,240,247,275,597,645,1334,0,19,289,87,110,291,1072,1391,1530,432,919,1406,0,39,40,387,135,118,237,283,396,579,490,819,0,19,0,0,36,70,86,116,150,229,299,834,13,3,185,198,397,444,1057,939,1985,2047,3764,3913,9596,9266,18056,16902,30992,29320,56484,56711,78823,72376,87899,85844
,00:08:03,25.6,144,130,1496,227,255,6151,435,1524,1608,908,3573,1878,10,142,249,426,332,611,963,588,415,652,678,1409,3,0,39,375,125,112,262,303,282,627,685,1349,42,32,209,94,183,315,1048,1429,1574,434,957,1382,26,12,9,352,106,100,205,286,365,593,508,821,9,0,0,29,20,24,46,99,125,272,273,820,1,0,193,201,415,433,1011,977,2018,1962,3765,3756,9494,8979,18330,16451,30432,30559,57421,56031,80164,73354,87721,85543
,00:08:19,25.6,148,175,1645,185,236,6151,430,1520,1619,954,3448,1932,0,100,176,372,351,626,971,579,418,665,722,1390,19,2,30,461,76,117,286,338,230,611,668,1368,39,6,231,111,105,273,1104,1442,1620,472,927,1455,21,28,45,369,130,125,192,256,357,598,552,859,1,38,0,19,0,32,38,105,137,247,267,835,30,0,189,200,435,399,1000,1012,1984,1994,3791,3812,9517,8991,17794,16431,30096,29819,58325,55891,78044,73058,88073,85413
,00:08:35,25.6,106,158,1642,145,258,6265,475,1525,1635,935,3443,2031,26,100,217,358,333,598,1028,557,437,685,718,1456,23,0,20,468,97,119,280,322,298,678,641,1384,12,62,236,118,140,317,1197,1466,1692,466,953,1490,24,27,21,382,95,114,192,288,380,570,533,844,0,0,26,56,45,12,45,88,150,240,276,854,18,33,206,176,419,402,984,967,2065,2017,3805,3774,9593,9184,17879,16458,30093,29615,57818,56823,77538,73415,87434,86961
,00:08:51,25.6,182,193,1705,173,299,6522,484,1580,1678,961,3523,2015,2,166,236,416,339,617,1056,603,441,638,691,1425,44,32,17,461,140,151,239,297,255,626,681,1434,30,78,276,132,97,246,1194,1484,1721,462,995,1456,47,10,17,402,119,121,256,286,483,587,547,882,22,0,0,28,22,11,61,96,110,224,301,841,0,0,204,179,422,385,1023,969,1971,2079,3798,3936,9478,9167,17945,16340,30113,29224,57140,55165,79104,73782,87787,85982
,00:09:07,25.6,146,175,1689,149,260,6561,464,1609,1704,975,3667,2037,17,131,181,399,371,618,1058,575,409,632,749,1439,0,14,40,492,83,109,335,277,295,708,712,1443,7,58,228,111,108,336,1211,1486,1817,492,1046,1432,0,9,14,385,135,86,205,302,411,540,560,863,0,0,0,0,22,34,72,118,101,232,298,836,0,25,181,201,394,395,1070,989,1944,2001,3790,3836,9704,9123,17932,16426,30113,29979,57744,55652,79060,74801,85923,85418
,00:09:23,25.6,146,167,1717,187,281,6626,468,1621,1666,972,3488,2079,16,143,207,405,360,655,1061,597,442,653,733,1468,0,69,41,482,86,126,245,299,302,640,708,1459,48,14,223,107,126,318,1239,1528,1830,464,1024,1504,46,39,11,419,141,122,247,334,440,610,544,868,39,0,8,6,0,49,28,116,132,256,319,839,21,0,179,223,437,389,987,958,1968,2031,3820,3823,9801,9496,17645,16218,30834,29388,58172,55805,81865,74831,88628,87156
,00:09:39,25.6,157,202,1829,207,268,6685,450,1625,1705,971,3363,2106,13,111,236,383,356,643,1110,584,500,656,724,1473,0,21,33,516,85,80,267,344,300,703,665,1547,28,35,256,118,130,370,1285,1553,1800,473,1012,1527,36,21,0,458,123,109,268,293,462,575,631,836,34,27,0,5,0,1,59,79,143,230,285,835,0,0,200,195,387,394,998,953,1975,1992,3811,3860,9391,9022,17532,16221,29668,29585,57634,54884,78245,74354,87451,84872
,00:09:55,25.6,193,196,1975,220,290,6656,458,1656,1716,1019,3576,2128,3,118,217,437,368,627,1122,601,447,730,753,1555,0,33,39,478,141,94,269,302,308,702,691,1591,30,71,300,149,169,353,1229,1541,1889,456,975,1510,6,10,25,445,132,153,250,263,428,591,552,852,12,0,4,19,39,28,39,84,144,227,269,856,31,0,206,171,401,429,1047,1034,2006,1962,3770,3836,9670,9018,18035,16117,30129,29850,55911,55968,79138,73816,88455,85879
,00:10:11,25.6,134,151,2070,205,309,6714,470,1648,1687,1022,3587,2211,0,107,209,436,353,612,1097,646,447,706,731,1587,0,12,48,505,73,109,275,271,268,670,698,1537,56,75,290,134,140,379,1319,1608,1887,537,1014,1535,62,50,37,423,118,103,226,343,468,566,587,873,2,28,9,0,45,68,70,90,120,240,331,828,21,58,202,187,385,376,987,996,1961,1937,3771,3828,9637,9118,17685,16477,30262,29747,57839,56471,80313,72537,87614,85954
,00:10:27,25.6,178,185,2042,182,248,6808,517,1766,1749,1039,3533,2249,0,158,213,468,391,637,1161,663,459,753,824,1556,4,0,76,511,90,130,292,298,287,720,699,1520,57,35,288,123,144,381,1388,1671,1942,503,1093,1582,43,8,0,453,124,145,225,295,469,615,573,894,34,0,40,12,12,22,75,113,104,232,314,836,0,0,188,190,430,386,1019,997,2030,2006,3773,3869,9389,8988,17772,15927,30398,29774,57573,56040,77654,72652,88082,84145
,00:10:43,25.6,184,200,2153,184,274,6927,454,1682,1693,1009,3616,2234,0,183,258,462,391,667,1159,662,471,725,814,1537,28,4,18,554,125,110,255,338,273,731,744,1500,21,21,287,77,130,387,1450,1651,2030,569,1053,1592,16,32,3,478,186,116,299,288,428,572,621,870,14,19,4,5,43,29,42,112,123,238,300,900,0,0,175,231,397,395,975,995,1934,2032,3778,3926,9551,9093,17688,16485,30310,29479,56149,55936,78849,74249,87669,86044
,00:10:59,25.6,214,174,2144,203,285,6981,462,1744,1810,1016,3630,2273,0,177,249,462,393,768,1194,674,500,783,825,1625,0,0,20,550,85,121,267,369,274,719,697,1475,66,52,303,126,165,380,1448,1736,2080,530,1099,1600,9,15,6,466,157,143,231,315,434,599,599,856,41,4,2,41,20,17,67,107,130,219,300,833,20,0,192,219,386,440,1019,1001,1993,2007,3804,3800,9665,9097,18176,16449,30227,29820,56850,55402,78858,74585,87131,86451
,00:11:15,25.6,192,187,2178,171,309,6999,522,1769,1814,1058,3641,2320,26,133,216,451,380,728,1185,706,519,745,868,1581,19,1,13,585,134,150,282,311,261,754,715,1521,59,40,295,129,166,373,1405,1800,2062,550,1183,1550,50,26,32,488,176,143,249,280,435,623,616,921,0,4,10,16,14,48,80,97,152,298,311,814,0,28,187,164,393,422,999,1043,1950,2051,3816,3908,9401,9184,17928,16414,30217,29820,57548,54852,77097,70922,87020,84620
,00:11:31,25.6,190,191,2199,202,312,7120,498,1743,1913,1077,3647,2350,45,170,278,439,381,739,1267,681,511,781,846,1599,3,28,75,548,131,140,340,343,306,742,761,1536,32,64,321,153,192,412,1469,1741,2117,521,1094,1564,0,0,0,513,144,100,297,325,429,601,602,871,33,0,8,2,9,44,85,121,106,207,275,825,0,0,181,188,432,387,1009,1014,1945,2035,3789,3883,9565,9097,17977,16247,30442,29604,57140,55508,78083,71052,86408,88411
