User: USER,,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,,,
Test ID: 5486,,,
Test Name: Luka_Pathlength,,,
Date: 27/03/2025,,,
Time: 11:42:00 AM,,,
ID1: 8,,,
Absorbance,,,Absorbance values are displayed as OD
,,,
,,,
Well,Content,Raw Data (977 2),Raw Data (900 1)
A01,Sample X1,0.159,0.067
A02,Sample X2,0.157,0.062
A03,Sample X3,0.157,0.063
A04,Sample X4,0.159,0.063
A05,Sample X5,0.16,0.065
A06,Sample X6,0.166,0.071
A07,Sample X7,0.155,0.06
A08,Sample X8,0.153,0.06
A09,Sample X9,0.16,0.064
A10,Sample X10,0.159,0.064
A11,Sample X11,0.155,0.063
A12,Sample X12,0.158,0.064
B01,Sample X13,0.156,0.061
B02,Sample X14,0.157,0.061
B03,Sample X15,0.157,0.061
B04,Sample X16,0.16,0.063
B05,Sample X17,0.158,0.061
B06,Sample X18,0.155,0.061
B07,Sample X19,0.153,0.058
B08,Sample X20,0.154,0.058
B09,Sample X21,0.154,0.059
B10,Sample X22,0.154,0.059
B11,Sample X23,0.155,0.059
B12,Sample X24,0.158,0.064
C01,Sample X25,0.158,0.061
C02,Sample X26,0.154,0.057
C03,Sample X27,0.156,0.06
C04,Sample X28,0.16,0.061
C05,Sample X29,0.157,0.062
C06,Sample X30,0.158,0.066
C07,Sample X31,0.151,0.057
C08,Sample X32,0.152,0.057
C09,Sample X33,0.155,0.061
C10,Sample X34,0.151,0.057
C11,Sample X35,0.15,0.056
C12,Sample X36,0.153,0.058
D01,Sample X37,0.156,0.061
D02,Sample X38,0.154,0.057
D03,Sample X39,0.154,0.058
D04,Sample X40,0.156,0.06
D05,Sample X41,0.153,0.057
D06,Sample X42,0.156,0.062
D07,Sample X43,0.151,0.057
D08,Sample X44,0.15,0.055
D09,Sample X45,0.15,0.058
D10,Sample X46,0.155,0.062
D11,Sample X47,0.157,0.063
D12,Sample X48,0.156,0.06
E01,Sample X49,0.154,0.058
E02,Sample X50,0.155,0.057
E03,Sample X51,0.153,0.058
E04,Sample X52,0.157,0.059
E05,Sample X53,0.158,0.059
E06,Sample X54,0.153,0.057
E07,Sample X55,0.152,0.055
E08,Sample X56,0.157,0.059
E09,Sample X57,0.155,0.059
E10,Sample X58,0.151,0.057
E11,Sample X59,0.154,0.058
E12,Sample X60,0.154,0.057
F01,Sample X61,0.152,0.057
F02,Sample X62,0.153,0.056
F03,Sample X63,0.153,0.057
F04,Sample X64,0.156,0.06
F05,Sample X65,0.154,0.055
F06,Sample X66,0.153,0.057
F07,Sample X67,0.151,0.056
F08,Sample X68,0.154,0.057
F09,Sample X69,0.151,0.056
F10,Sample X70,0.152,0.056
F11,Sample X71,0.154,0.059
F12,Sample X72,0.157,0.06
G01,Sample X73,0.152,0.056
G02,Sample X74,0.15,0.056
G03,Sample X75,0.15,0.056
G04,Sample X76,0.152,0.056
G05,Sample X77,0.153,0.055
G06,Sample X78,0.151,0.055
G07,Sample X79,0.152,0.057
G08,Sample X80,0.153,0.057
G09,Sample X81,0.155,0.062
G10,Sample X82,0.151,0.056
G11,Sample X83,0.152,0.058
G12,Sample X84,0.154,0.058
H01,Sample X85,0.155,0.06
H02,Sample X86,0.158,0.063
H03,Sample X87,0.154,0.059
H04,Sample X88,0.155,0.058
H05,Sample X89,0.153,0.056
H06,Sample X90,0.157,0.059
H07,Sample X91,0.192,0.099
H08,Sample X92,0.151,0.056
H09,Sample X93,0.154,0.062
H10,Sample X94,0.158,0.064
H11,Sample X95,0.159,0.062
H12,Sample X96,0.155,0.059
